Timestamp,Host,Status,Latency,Packet Loss
2026-09-20 18:07:29,google.com,UP,50,0
2026-09-20 18:07:32,8.8.8.8,UP,41,0
2026-09-20 18:07:35,1.1.1.1,UP,43,0
2026-09-20 18:07:38,this-host-does-not-exist-12345.com,DOWN,None,None
2026-09-20 18:07:48,google.com,UP,49,0
2026-09-20 18:07:51,8.8.8.8,UP,44,0
2026-09-20 18:07:55,1.1.1.1,UP,45,0
2026-09-20 18:07:58,this-host-does-not-exist-12345.com,DOWN,None,None
2026-09-20 18:08:08,google.com,UP,38,0
2026-09-20 18:08:11,8.8.8.8,UP,40,0
2026-09-20 18:08:14,1.1.1.1,UP,59,0
2026-09-20 18:08:17,this-host-does-not-exist-12345.com,DOWN,None,None
2026-09-20 18:08:27,google.com,UP,38,0
2026-09-20 18:08:31,8.8.8.8,UP,81,0
2026-09-20 18:08:34,1.1.1.1,UP,40,0
2026-09-20 18:08:37,this-host-does-not-exist-12345.com,DOWN,None,None
2026-09-20 18:47:37,google.com,UP,50,0
2026-09-20 18:47:40,8.8.8.8,UP,93,0
2026-09-20 18:47:43,1.1.1.1,DOWN,None,None
